L 01/06/2021 - 00:28:47: Log file started (file "cstrike/addons/amxmodx/logs/CVARmenu.log") (game "cstrike") (amx "1.9.0.5271")
L 01/11/2021 - 17:19:27: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_unlag = 0 .
L 01/11/2021 - 17:19:28: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_unlag = 1 .
L 01/11/2021 - 17:19:28: [OFFICIAL] ADMIN WatcH mE seteaza cvar sv_unlag = 0 .
L 01/11/2021 - 17:28:07: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_unlag = 0 .
L 01/11/2021 - 17:28:08: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_unlag = 1 .
L 01/11/2021 - 17:28:15: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.1 .
L 01/11/2021 - 17:28:15: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.5 .
L 01/11/2021 - 17:28:16: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1 .
L 01/11/2021 - 17:28:16: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1.5 .
L 01/11/2021 - 17:54:33: [OFFICIAL] ADMIN Osiris seteaza cvar mp_autoteambalance = 1 .
L 01/11/2021 - 18:10:19: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 35 .
L 01/11/2021 - 18:14:55: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_unlag = 0 .
L 01/11/2021 - 18:14:56: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_unlag = 1 .
L 01/11/2021 - 18:14:58: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.1 .
L 01/11/2021 - 18:14:58: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 0.5 .
L 01/11/2021 - 18:14:59: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1 .
L 01/11/2021 - 18:15:00: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar sv_maxunlag = 1.5 .
L 01/11/2021 - 18:15:44: [OFFICIAL] ADMIN Osiris seteaza cvar mp_autoteambalance = 1 .
